,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,87709.82940444558,86248.41701960453,83256.51262381668,86381.97111309283,85899.18254023991
11,83626.77238953297,86110.9663246807,86855.36848543702,86876.73952234905,85867.46168049992
21,84355.67176844274,86671.00562141018,83865.83500051398,84468.94340379609,84840.36394854076
31,80648.988344014,86261.81382870274,85297.88378389309,84627.43728517952,84209.03081044734
41,83119.38123529559,85262.51366444085,84658.9198774701,82730.9652572128,83942.94500860485
51,83916.39439771867,84479.33190291192,83008.35236842392,82730.9652572128,83533.76098156683
61,87297.60909214902,83624.80077489071,85626.14961446074,86171.13979135873,85679.9248182148
71,82960.9864675119,83545.24484465436,83087.40319202261,83797.71961010869,83347.83852857439
81,83568.52890823635,83317.76416414387,84328.34996617811,84495.9958732721,83927.6597279576
91,83554.33478859825,83353.87261032709,87006.40044118455,84158.17264656055,84518.19512166761
101,83221.13359151913,82967.1642023071,84149.85791965062,83066.52458552031,83351.17007474929
111,82877.61428647714,84909.9404324388,84616.31687893752,81570.97348723958,83493.71127127326
121,82882.221219916,84238.64024422,83634.9117521353,82656.04869764524,83352.95547847914
131,82882.221219916,81453.55970272953,85554.41265462633,82016.68546071289,82976.71975949619
141,80842.65289760777,85402.2977201177,84609.21817414436,77530.83010053681,82096.24972310166
151,82686.94302974267,83903.77161430486,85508.49543476068,80562.37118237172,83165.395315295
161,84287.71229438724,86701.44889173377,83918.83043241313,83096.48437920956,84501.11899943593
171,84617.40843853638,88180.82496430243,82370.37045803666,81880.59169274432,84262.29888840494
181,84461.22124221783,87651.28808423156,86498.97971095738,83645.11776545164,85564.1517007146
191,81951.34051965736,87059.19126529731,86100.5937480133,82163.99509566603,84318.7801571585
201,82958.25214127642,86537.42955789207,86086.70721073315,84815.87830566378,85099.56680389136
211,85065.58790494454,86570.70186231869,86086.70721073315,84387.53445982217,85527.63285945464
221,85319.39703791037,88901.35474344724,86141.89354382052,84162.35182092318,86131.24928652533
231,82879.54583189402,86273.6846652892,85845.44857117368,83826.12519738861,84706.20106643638
241,85112.05534065116,84361.73657762719,85400.70473419804,83260.70583945699,84533.80062298334
251,86169.87282776175,85536.43444142144,87099.33175247196,85677.39655965808,86120.7588953283
261,88592.0106859839,84769.18866330452,87116.26432077368,84701.72169937672,86294.79634235971
271,85434.96682388442,84778.15525439045,87838.37896435065,86644.39967775285,86173.9751800946
281,87844.72767412281,85769.52976041666,87522.29343792633,87075.57264717692,87053.03087991069
291,87904.37642371426,84016.19110312892,87295.28796414916,85894.65580505216,86277.62782401111
301,86665.34701211788,84016.19110312892,88620.99194742664,83439.8215796668,85685.58791058506
311,84364.63392016172,83536.37082983187,82542.91213027165,83644.98061870164,83522.22437474172
321,85592.83312609191,82709.4372016808,89114.87946184185,83795.97994579698,85303.28243385287
331,85292.75968811467,84164.95956549258,85657.03529231576,83795.97994579698,84727.68362293
341,83742.27969995089,81610.19235528124,86458.18859596082,83795.97994579698,83901.66014924747
351,86075.8938825963,79873.09350011614,88953.63459757715,82169.8693432771,84268.12283089166
361,82735.7160174829,82125.1725028933,86124.15786072922,80377.12000120661,82840.54159557802
371,83438.60482472194,82289.8357727793,85922.5871321892,82111.37333276935,83440.60026561495
381,84176.66070257298,81254.6195059086,84635.31607966803,85292.18706080913,83839.69583723969
391,85788.59169194702,82399.53159840452,82435.30353039905,80089.22860371662,82678.1638561168
401,85948.46337394362,83676.51050220762,85140.59494342736,81259.09862680032,84006.16686159474
411,85960.60211526003,81816.57939610547,86949.04136408198,80542.7861759889,83817.2522628591
421,81453.07583029187,81106.11733285061,86106.9732004093,85584.51300077347,83562.66984108131
431,82146.229256525,81106.11733285061,84326.09083504064,85010.36402272925,83147.20036178638
441,84033.42353423098,83591.28218342719,85709.94886233984,84618.96173496336,84488.40407874034
451,82818.72283079204,83314.97851345829,85145.91357541579,83633.60925151483,83728.30604279524
461,86092.83386327651,84325.06322556968,84903.39593742297,85398.0219303897,85179.82873916472
471,86092.83386327651,83283.06235323931,82532.34903553907,83957.96913961225,83966.55359791679
481,87082.81820624336,82466.81804921057,85096.24341179057,83700.04590500548,84586.4813930625
491,84852.34472418964,82785.3373142063,82781.85117811599,86080.17122704104,84124.92611088825
501,86129.1171536667,86426.92437908112,83082.9645645999,85775.5415020786,85353.63689985657
511,83697.25807191354,87071.0255358633,85003.73985379892,87326.03589456412,85774.51483903498
521,83788.9450552124,86829.01440363168,83994.74681946875,88808.02221939765,85855.18212442762
531,84518.27882758161,88350.32318673951,81474.85176146233,85092.2985826718,84858.93808961382
541,84997.60832358661,86268.75085465143,83847.43937843778,86473.12530634271,85396.73096575463
551,83210.1115295689,86268.75085465143,82906.1956981708,83814.6952249607,84049.93832683796
561,81143.20002521697,83579.72011071985,84908.80419600318,85723.93126136696,83838.91389832675
571,80950.24597190598,87167.15217845739,85738.40404576783,84412.5099705528,84567.078041671
