,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,85363.01709158233,84205.42686774363,84722.32849223733,85105.72748462809,84849.12498404784
11,87761.73340534548,83059.59570024513,85525.3680187405,88770.91841722696,86279.40388538952
21,87190.4125924591,83939.85525824132,84994.31108128824,87905.71791364664,86007.57421140882
31,88921.82398647314,82517.04083430949,85357.29462368933,86277.83223251384,85768.49791924644
41,85984.14652077209,85728.37204160604,84580.51768269711,85450.45413080111,85435.87259396908
51,85324.45346943362,85570.21191591836,84334.04203709608,85871.85144598506,85275.13971710828
61,85931.23887704917,87524.31854157378,85593.87232843392,88643.4577404059,86923.22187186568
71,88454.13879918157,87876.65876536604,88073.51388966572,84771.67155021436,87293.99575110692
81,89876.72952584762,85070.46321171927,81440.18170228887,87892.04557629925,86069.85500403875
91,85959.24969515728,86525.9726613118,83871.61917304406,86715.57795701004,85768.10487163079
101,87519.28598116795,85982.31264821163,87433.68388587858,87364.57884374337,87074.96533975039
111,84907.82050888821,85831.81804795553,87093.57244704444,83121.31072197622,85238.6304314661
121,81608.30232586646,85217.87469997648,84623.87663987256,82676.62093312507,83531.66864971015
131,82043.04369339737,82426.6827294259,84850.74321922784,84829.3190684689,83537.44717763
141,84091.31822253454,86512.95111846662,84844.19084430224,81954.49089855436,84350.73777096445
151,85023.89677400442,86981.59692391093,86722.04072239788,81954.49089855436,85170.5063297169
161,86957.59031457118,85485.73338926608,87169.34773494359,86519.45894382532,86533.03259565154
171,85140.47185577161,87622.46859475484,85862.29800811142,84585.43964256548,85802.66952530084
181,84897.2412210021,87545.79635998623,87009.75041423377,85809.41687496465,86315.55121754669
191,84729.33528087959,85296.58764824184,86564.25901683429,86104.51253912957,85673.67362127131
201,85379.6018114857,84806.51283233392,86777.10739860055,89262.27814143502,86556.3750459638
211,86000.17170274504,87577.72971377974,87533.07123387343,89892.2901040948,87750.81568862326
221,87052.76601265954,85006.3804092532,86467.06285134504,89113.6103475011,86909.95490518972
231,87984.55365136349,85773.04035812558,88807.69766457808,85845.41859240524,87102.6775666181
241,85437.75197707828,87274.4860231949,91047.67919668977,86795.30832830825,87638.80638131782
251,84424.83347826863,87566.65549233119,90259.23097340579,85952.18230395287,87050.72556198962
261,86729.93817987623,87660.92866712676,87701.2455317774,83472.6015487253,86391.17848187641
271,88285.66774674639,86745.49488694899,90487.25628732599,85152.6243194849,87667.76081012658
281,85918.12951751407,87815.51028058151,87968.721010161,83818.55295113116,86380.22843984692
291,84340.36615541177,84662.3558681918,88690.24635853319,80232.56253958227,84481.38273042976
301,85799.03206101249,87215.53144372051,86812.88784969551,81930.28223682386,85439.43339781309
311,86334.91923322377,86614.7973618761,87598.13350179022,81393.36454734673,85485.30366105921
321,87721.39434235719,85529.24282631864,85394.24855753618,82389.00295139395,85258.47216940149
331,86075.47497860307,83384.47413988005,85432.33218556922,83986.82436508377,84719.77641728403
341,86312.99074265524,85595.18653937225,85837.46753236391,85991.35611738334,85934.25023294368
351,86976.11793492392,84810.94749695579,86507.32432812113,87116.98705832798,86352.84420458222
361,82866.3234778682,83161.61085630082,85539.17474321852,85762.78989011605,84332.47474187589
371,83350.83434795754,86212.62654131505,85698.23076566827,84943.50558172725,85051.29930916702
381,85728.72546771282,86809.86202445021,87473.25547805445,85836.90029735744,86462.18581689373
391,85172.46889517363,86137.84466178367,86704.73239684863,84669.634523042,85671.17011921198
401,84485.94172094268,84142.8164783521,86396.95472637775,84789.84431201556,84953.88930942203
411,85498.21856783549,83862.12315281751,86809.49316320191,87302.21988881944,85868.01369316858
421,84868.54079953821,85481.11189365883,87884.709679755,86440.29517869832,86168.66438791259
431,86866.84867058878,85656.48051208557,85998.04330951872,85913.3573411166,86108.68245832741
441,87307.50390956807,85229.9764653632,85390.58484488865,89874.14631612426,86950.55288398605
451,88292.46419377795,88916.38853947804,85249.51828750735,90411.35507565997,88217.43152410584
461,87378.73677043802,85241.72374888774,85383.88860704609,89146.1458047394,86787.6237327778
471,87540.38632133446,88373.95038426615,85680.62978414276,88157.19508909945,87438.04039471071
481,85635.5172523754,86707.74774565312,84979.72437953124,86436.39199016163,85939.84534193034
491,85131.02267187409,88883.42793592857,83714.17088690546,86579.36447207864,86076.99649169669
501,85977.77320991186,89200.0557092223,84114.26282197532,89822.13370182835,87278.55636073447
511,85899.45580151783,87545.79638134656,85080.70223958128,86463.42909053201,86247.34587824442
521,85616.64641848113,90037.33786651843,84188.46368422727,87646.95143199545,86872.34985030556
531,84767.36822835804,90057.43003806757,86822.77388469476,85396.59489538225,86761.04176162566
541,85856.67961745964,91583.58188708326,85518.24648621009,87546.41744964881,87626.23136010044
551,85459.54774708947,86894.00443180157,84986.77565022293,87961.31716510966,86325.4112485559
561,83912.68919388586,89707.21019449667,85077.32981829092,89504.63950307117,87050.46717743616
571,87969.92049504575,90410.12551418968,83233.48977789906,90494.29384181717,88026.95740723792
581,87418.75137329743,86933.77631065549,83133.63690871664,89048.13983697761,86633.57610741179
591,85356.3748385069,86699.6859080524,81674.0758099998,85905.98456651172,84909.0302807677
601,82283.23130405048,89449.98827338323,84149.78045611655,84631.65333117006,85128.66334118007
611,83280.93266666173,89355.74208107761,85327.11236421658,90001.99071871937,86991.44445766883
621,86031.03204338552,88701.40911265394,86398.04458275494,89107.319242243,87559.45124525936
631,85662.52571755074,87560.53465453161,85504.24339252805,85798.45608865703,86131.43996331685
641,84960.10551866386,89737.10009535239,85808.22681208349,84926.85705198419,86358.07236952097
651,86492.54626962841,90401.71164389374,84106.58254570625,84965.69762139152,86491.63452015497
661,84464.15780092384,86316.14839946624,84517.97493016788,85067.08074323104,85091.34046844726
671,82653.97678014974,86528.40560133196,83747.53480510329,86098.27434030174,84757.04788172168
681,83833.71273381978,84226.25479731482,83827.93850325682,82502.85475178836,83597.69019654495
691,81247.2302954568,84437.63897442861,83439.22129078445,87284.06304706086,84102.03840193269
701,81603.77467312408,86284.94687754223,83064.91416307344,85570.22039453142,84130.96402706779
711,84071.63729230333,86085.52206218893,82149.02723337323,85989.72186789892,84573.9771139411
721,85596.82500446297,87336.12871983368,80708.38655135092,85886.56655024659,84881.97670647354
731,85232.5136227556,88806.02491748959,85768.87810056149,87534.16695894503,86835.39589993794
741,85612.6745118858,88450.93417006318,83622.48391229332,85574.54874679405,85815.16033525909
751,83844.84111609834,87522.21599856089,86053.82027065525,85574.54874679405,85748.85653302714
761,84495.07573956125,88467.63562411998,84977.41783356214,86801.5853924504,86185.42864742344
771,86714.18439870028,85542.32259190598,86775.2704120518,86501.5229963144,86383.32509974312
781,84467.82343857433,86578.64979103858,85390.96331759643,84370.64251443285,85202.01976541054
791,86798.68595725486,84183.81294046955,87661.90160060805,82309.0788467331,85238.36983626639
801,85563.3798675203,84792.77462181803,85109.66401827853,84964.03355831878,85107.46301648392
811,84656.03041880029,86154.4871676049,85800.57022819472,83944.69341413607,85138.945307184
