,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,87256.45988615027,85883.5741307186,83690.77833335137,86898.87711491015,85932.4223662826
11,83272.36100141834,86798.94592039163,84957.18889489581,86898.87711491015,85481.84323290398
21,86519.38547943802,85606.18551053127,87194.67937527118,85789.84168055546,86277.523011449
31,86295.8140394309,83193.88092253856,83680.24651609924,86745.55318613294,84978.87366605041
41,84426.157506988,84131.92294796901,87098.57378440729,87937.7120496256,85898.59157224747
51,83986.60554408895,84956.83802833983,86931.10506158485,82618.04448958045,84623.14828089852
61,80226.1710487308,82477.84011024394,86673.62271885785,85883.50251322887,83815.28409776535
71,82107.01735819178,83828.193907967,88639.52209309685,83871.13910225085,84611.46811537663
81,80693.27838663833,84776.89166620404,86996.21721333449,80882.81999642988,83337.30181565168
91,82246.16960519101,86388.99893812148,82008.13325265907,83320.48647131742,83490.94706682225
101,82922.46709734142,86856.02338017683,83533.35178512674,84465.51794969403,84444.34005308474
111,80934.81094258846,84628.94595093127,83533.35178512674,83185.69812749037,83070.7017015342
121,81292.44208595096,83444.35099918532,83459.95295998335,83933.25090477231,83032.49923747298
131,81072.47493010951,80748.98114773186,81476.04321477788,84190.71655306952,81872.05396142219
141,77651.03937382487,83346.8127535404,82681.3822546533,84625.90900439153,82076.28584660252
151,77651.03937382487,84898.3653920414,85811.7287188159,83122.48240727087,82870.90397298826
161,77651.03937382487,82447.77402895581,87326.86794427155,82980.72286210602,82601.60105228957
171,79169.45108404539,84141.37373771983,84319.76088462956,84202.47687272198,82958.2656447792
181,79821.60682616786,84644.96576301425,84665.66839283785,82471.34175881116,82900.89568520778
191,79821.60682616786,85215.96697819977,85296.33160446837,84407.52628024295,83685.35792226973
201,81916.72755339672,84053.18412425781,82832.2603765769,81569.89549428818,82593.01688712991
211,80932.34641842984,88166.53121486101,83175.36558160522,83174.68097598042,83862.23104771912
221,78825.01446035971,85214.2664215139,79792.21767613027,85225.80445150723,82264.32575237777
231,80542.91014751077,86075.14409554738,85552.88946866404,83899.45904112548,84017.60068821191
241,78853.6309730169,85513.81957088312,85473.69814931788,83828.6251369737,83417.4434575479
