,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,86970.72403922255,85492.41221775634,87880.58442239577,85102.59877065915,86361.57986250846
11,86449.26980096122,84481.144840558,88474.42257239785,88171.13118411455,86893.9920995079
21,86661.34914747442,85202.32292016294,84041.88509786302,82333.63220967285,84559.79734379333
31,86468.09549878108,85792.82154607202,85395.01455837728,87630.52821703069,86321.61495506526
41,85787.06844409001,83943.92389892013,83634.07278575798,85776.29554247006,84785.34016780954
51,86225.7269135048,87122.9711458448,85540.24899867275,85656.75239382748,86136.42486296246
61,85820.65516528588,87965.93543474645,85698.02982921031,87948.66005082762,86858.32012001757
71,86025.34762858332,86406.31673058351,85263.7682398711,88319.7752363263,86503.80195884105
81,86571.66777562506,87244.29758098004,88232.90452669759,88137.72765065244,87546.64938348878
91,86373.30845431016,88847.25537257685,87297.1759002523,87194.31967766807,87428.01485120185
101,89168.31584680724,88253.73172860128,86988.69542799518,87284.77871169534,87923.88042877476
111,87897.5870246127,86221.65989112321,85625.6575381561,87570.9704913927,86828.96873632119
121,88572.92024497679,87956.59708336172,85711.35323263363,86981.81303944401,87305.67090010404
131,87681.01318728448,86392.76016292878,84629.59875043316,86065.63864582736,86192.25268661845
141,87372.91182848962,83958.79294516808,85652.20821488465,86692.40009734512,85919.07827147187
151,86988.29080729152,84984.17163348972,85609.31513250929,85149.94243396081,85682.93000181283
161,84430.76571491586,86257.62733851871,83660.61659419691,82285.99813671704,84158.75194608713
171,84021.21253503533,84571.57159967943,87380.13617910068,82310.51438356031,84570.85867434394
181,86071.6135482671,82060.30428073148,86133.90461130378,85362.96405966638,84907.19662499218
191,86244.1732872766,83720.69386820612,82756.38738329672,89615.78692633742,85584.26036627921
201,85170.81890210186,79923.13509642692,85485.08030115343,86261.69422690415,84210.18213164658
211,84681.55333815508,84063.75329135868,88231.232357881,86595.03841872932,85892.89435153102
221,86355.79886693395,84431.79543601566,86685.03365478739,88586.89486418766,86514.88070548116
231,84710.71945787495,84544.4037700205,86282.84181431783,82985.31338134193,84630.8196058888
241,86038.06975655956,85330.85422439723,87816.8413805935,83979.5880221256,85791.33834591896
251,89387.74560721447,84590.24767604166,85047.00637462962,83569.07656055884,85648.51905461116
261,88724.45579440329,82927.0737367837,86657.26445299985,84480.45365016507,85697.31190858797
271,85872.11866472132,83177.35262098679,83888.89049441581,84266.61327972743,84301.24376496283
281,86528.62368281455,87586.47492627222,89360.99665238879,85085.20039602957,87140.32391437628
291,87934.82699588948,86155.09931253662,84758.25182680553,81889.15349941116,85184.3329086607
301,86039.14436614545,87545.52211787112,88183.90071553431,87366.49594572934,87283.76578632006
