,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,87022.55593800357,86132.24675083315,84215.54024029015,84218.8456919698,85397.29715527417
11,84385.70934143591,83785.29554931883,81154.07769542247,80607.21784974501,82483.07510898056
21,80497.05756062543,77965.96062852962,77144.93971377809,76714.00283936587,78080.49018557474
31,78376.37122781735,73213.3424961952,74205.21086543186,75447.16519744079,75310.5224467213
41,74920.11318429034,71551.47484676894,74157.48413326222,72641.31118523175,73317.5958373883
51,74920.11318429034,70797.30519919515,71967.19725312796,68010.05440770394,71423.66751107934
61,74713.85697488832,67297.47517025356,71535.8980505752,67706.89299618699,70313.53079797601
71,71813.1529753791,66354.81512114107,70034.54663521005,66872.32009266542,68768.70870609891
81,71730.69663551071,65710.6091816841,69041.9208303499,66183.72730617804,68166.73848843068
91,69173.88232892024,64291.45162296669,69041.9208303499,65274.28309627301,66945.38446962746
101,68950.72092071774,62993.252046247064,67227.89514169471,63097.14740375592,65567.25387810386
111,68079.64205377025,62510.28012205165,66811.30233241752,60584.21585852962,64496.36009169226
121,68079.64205377025,62114.02710547497,66179.47508758734,60584.21585852962,64239.34002634054
131,66867.56248501502,61149.910694960265,65036.333886418244,60584.21585852962,63409.50573123079
141,65662.12985318807,59598.82364410445,63790.133630396136,60584.21585852962,62408.82574655457
151,64140.68193328058,59598.82364410445,63035.78461184846,60104.449127951695,61719.9348292963
161,64121.472169911845,58760.519969742316,61352.889760613805,58515.79622868399,60687.66953223799
171,64121.472169911845,57720.75128124871,60031.82486456608,58169.52615594142,60010.89361791701
181,63141.2496429662,56862.45287419808,60031.82486456608,55071.14902988945,58776.669102904954
191,62857.39340009521,56079.71613370884,59337.511130720515,55071.14902988945,58336.4424236035
201,61839.321295313006,55675.38371312339,59337.511130720515,55064.89899034062,57979.278782374386
211,61605.89991936324,55086.4069275112,58822.84201946903,54999.876839671975,57628.75642650387
221,61310.55981262633,54459.025442359634,58364.01361218661,54004.58705927838,57034.546481612735
231,60628.29075841947,53178.22885266501,58192.00343060326,53085.49095971271,56271.00350035011
241,60179.0736871643,52965.93416878036,56798.33230133922,53085.49095971271,55757.20777924915
251,60083.38831115037,52965.93416878036,56594.765529018005,51925.43667875162,55392.381171925095
261,59820.236140704306,52773.97269524005,56517.035444309484,51925.43667875162,55259.17023975136
271,59343.57872546947,51956.81453568035,55930.080723278224,51561.93551427322,54698.10237467531
281,58211.88843593698,51956.81453568035,55099.46100875267,50718.52382672487,53996.671951773715
291,58211.88843593698,51445.21950541138,54852.074232965446,50718.52382672487,53806.92650025967
301,57580.87975254505,51104.16989487146,51929.972045087474,50511.328321269895,52781.58750344347
311,57035.48257225599,51104.16989487146,51929.972045087474,50298.806745358284,52592.1078143933
321,55972.661683393606,50625.67290442557,51670.841786860685,49988.87244256236,52064.51220431056
331,55523.1865885732,50157.321110213365,51343.6425792321,49356.76443664845,51595.22867866678
341,55212.254826777695,49675.161274107275,51279.636566115674,48692.51485425584,51214.89188031411
351,55116.21016484966,49675.161274107275,50685.960340201,48571.31064584542,51012.16060625084
361,54013.57318146317,49130.72853317039,50333.60743285545,48273.820991389795,50437.9325347197
371,53622.20306232806,48936.31629867295,50059.13356540925,48111.54645303693,50182.299844861795
381,53594.32058439291,48936.31629867295,50059.13356540925,47185.50071737034,49943.81779146136
391,52447.55662934016,48281.00447410124,50059.13356540925,47185.50071737034,49493.29884655525
401,51677.704790121614,48069.6905798175,49451.6882506602,47185.50071737034,49096.14608449241
411,51472.747639709596,47955.16404387915,49140.816069019405,47185.50071737034,48938.55711749462
421,51208.36357480881,47707.74857336694,49140.816069019405,47185.50071737034,48810.60723364137
431,49855.24969982558,47118.137973216864,48740.72848243982,47185.50071737034,48224.90421821315
441,49855.24969982558,46747.332948759286,48366.6368309494,46801.156921929076,47942.59410036583
451,49799.73733095061,45934.79195681061,47775.11898104549,46483.89311947013,47498.38534706921
461,49646.37694266784,44344.61646039789,47555.371751919585,46483.89311947013,47007.56456861386
471,48585.51992694334,43741.54304718764,47555.371751919585,45953.9766867635,46459.10285320351
481,48585.51992694334,43529.50668215373,47555.371751919585,45953.9766867635,46406.09376194504
491,48063.75248001995,43341.82861853608,47383.58679919134,45548.275024472045,46084.36073055485
501,47382.16316037491,43341.82861853608,47383.58679919134,45196.114918098516,45825.92337405022
511,47145.12836852276,43094.495506332634,45972.03416110849,45196.114918098516,45351.9432385156
521,46874.87474623505,42463.54427688008,45972.03416110849,44823.794174211376,45033.56183960875
531,46603.145756120786,42463.54427688008,45972.03416110849,44823.794174211376,44965.62959208018
541,46403.370560997224,41934.00431615188,44867.60014954142,44823.794174211376,44507.19230022548
551,46403.370560997224,41592.88289969443,44336.91588360366,44352.66687081726,44171.45905377814
561,46216.34761537297,41592.88289969443,44336.91588360366,44276.31106879802,44105.614366867274
571,46216.34761537297,41285.00128642037,43944.90153292275,44276.31106879802,43930.64037587853
581,45631.785191455936,41285.00128642037,43944.90153292275,43487.85498185391,43587.385748163244
591,45373.13034370209,41285.00128642037,43903.70072504261,43487.85498185391,43512.42183425475
601,45373.13034370209,40968.45510238458,43318.00681622367,43487.85498185391,43286.86181104106
611,45373.13034370209,40968.45510238458,42869.196462030755,43452.11562993374,43165.72438451279
621,44932.890752047584,40819.251033491535,42869.196462030755,43444.717836025775,43016.51402089891
631,44932.890752047584,40262.59898714815,42869.196462030755,43352.579819904866,42854.31650528284
641,44932.890752047584,40262.59898714815,42224.00347984655,42937.89598927484,42589.34730207928
651,44223.582036114436,40262.59898714815,42102.85348317009,42937.89598927484,42381.73262392688
661,44223.582036114436,40262.59898714815,41846.19611901015,42937.89598927484,42317.568282886896
