,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,88422.57614910952,82753.73201640385,86576.04796324096,87643.99739226255,86349.08838025422
11,86813.49203460009,81726.71110357756,85105.34034470774,85159.24026019621,84701.1959357704
21,85555.26027278531,89502.53204480428,83180.5709353867,83659.48315087259,85474.46160096221
31,85240.81114142998,87343.33368572111,84961.91708500497,86931.78170459802,86119.46090418851
41,85833.22612950353,84136.89829005871,84672.94841533466,85723.79405967398,85091.71672364272
51,85423.8788925866,83848.53681378004,87849.30977036695,88049.0998899245,86292.70634166453
61,85805.71579938133,81479.4921375843,90055.45851129232,86862.59302746596,86050.81486893097
71,83984.78160711887,81780.05932096459,88670.11374883131,85752.21248444544,85046.79179034005
81,86926.9647937798,85502.36691097185,86235.06522960002,85307.97530347128,85993.09305945573
91,86998.92424634416,87627.60202796735,87029.22379136647,83777.94141582395,86358.42287037549
101,86998.92424634416,86193.71419612742,84870.80085696132,82670.7725602597,85183.55296492315
111,88794.18058017048,86198.08515655164,83997.53715234247,80181.29910092856,84792.77549749828
121,85742.86998270916,87418.89133819008,86422.36269689874,84373.23635155386,85989.34009233797
131,83008.33431556271,86008.671447327,86399.71978831032,83340.29085598767,84689.25410179692
141,88289.57057183045,87012.68520620847,85755.87516072878,85578.19413024848,86659.08126725405
151,86233.90608873227,87293.25841269914,85903.30915955303,85713.07123054782,86285.88622288307
161,84070.81068019453,84756.28200301249,86377.6053356381,82328.09328617282,84383.19782625449
171,85122.21873223761,89145.82506246674,85324.6818264048,87944.36289797012,86884.27212976983
181,83599.720060162,89827.65638700771,87231.9915635103,87564.29481768818,87055.91570709203
191,85834.22185761202,86558.40893145546,88174.65219615192,87157.72254851728,86931.25138343417
201,85899.68035263577,84773.51023276169,85349.18974182114,87189.02200409236,85802.85058282774
211,81154.89072883301,86605.15856440824,84898.13911567116,84920.91719753381,84394.77640161155
221,83853.11182541469,86032.95033437455,85535.517258086,86101.49440966932,85380.76845688613
231,80585.62230202067,89663.61776221685,85980.14884386183,84339.25471642792,85142.16090613182
241,84471.40752137719,88214.89855747733,85350.83944183077,86213.92259806223,86062.76702968689
251,82367.57434918292,87107.804940868,86651.24404629252,86589.81064484877,85679.10849529805
261,82367.57434918292,86539.26757418204,86320.82396652387,87103.18763322601,85582.7133807787
271,83584.82662482573,86237.0855123253,84130.29348717588,87301.22465114346,85313.35756886759
281,85422.2992605967,86733.66965896724,87578.1226320392,87925.41440641748,86914.87648950514
291,86095.24129878575,86708.31620526493,85491.3611530409,84852.2602071646,85786.79471606403
301,84462.85109686927,86708.31620526493,87429.72314306807,85317.57895859641,85979.61735094967
311,85197.9378708916,86349.5867634213,88504.93347021796,84073.89904577944,86031.58928757758
321,88403.60129610881,84552.52286576196,87342.58481317035,82159.79017285636,85614.62478697437
331,87202.54725499338,86804.13953850072,90819.63913348979,87034.22093670287,87965.13671592169
341,88336.54678561895,86260.98212646834,84548.90363782135,84764.92500524908,85977.83938878943
351,88287.98090124082,85692.13338235377,89496.15107940233,84764.92500524908,87060.29759206151
361,87820.98850152764,86157.71204520972,85377.96799053064,86217.14453367134,86393.45326773483
371,87140.48020095429,85750.06901653313,87872.92066970898,88821.35606404276,87396.20648780979
381,87823.21019421391,85555.76757963997,89015.79097550696,85678.46902926896,87018.30944465744
391,86020.29645253833,84560.08179939755,87170.5638122565,85854.32796062245,85901.3175062037
401,86020.29645253833,87857.54016954472,85191.48527342404,85854.32796062245,86230.91246403239
411,85003.72228024462,87322.81542537845,86668.87660226268,87243.34956296145,86559.6909677118
421,83172.91280092401,87426.72986582314,88237.14269995231,89522.22830033896,87089.7534167596
431,81645.30122755174,87322.32520113183,87303.28014326833,86702.18671270489,85743.2733211642
441,83133.09719746938,86992.42340347076,85736.71481609526,87114.36894253404,85744.15108989236
451,83133.09719746938,85003.53323562045,84037.82467354213,85893.03424043117,84516.87233676578
461,84368.49694353068,83987.46374745444,84037.82467354213,85015.90199105791,84352.42183889629
471,85663.88065986593,85792.83318592815,90500.39239571829,85590.11871852656,86886.80624000973
481,87563.62673829176,85889.5152133981,87091.62602733524,86176.68276289139,86680.36268547912
491,81536.67468064858,81024.36434088391,89911.90953796709,87219.25578208448,84923.05108539601
501,81295.6793517292,85033.8216030537,87819.93500516171,87649.28910184212,85449.68126544668
