,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,85836.42484875121,85422.88139808497,83297.48937741958,86327.97394051321,85221.19239119225
11,81458.11644152376,81852.64182058383,80157.55728595838,82354.55027213754,81455.71645505088
21,78209.16153737162,75999.68962368382,78128.56002656618,71928.89828030099,76066.57736698065
31,75774.79960402689,72984.77426791127,74157.37715496197,70252.62571146965,73292.39418459244
41,72991.17778739029,70222.93608864545,71988.39855467604,68031.17256943874,70808.42125003763
51,69383.29493926093,68639.32373199248,69008.84610520364,65319.8783683576,68087.83578620366
61,68522.81033211788,67306.45570867669,66219.22359791558,65063.29148994025,66777.9452821626
71,66848.89229156382,66107.20902692444,63769.14799056192,64080.25531766527,65201.37615667886
81,65466.21622155507,63942.02294619701,62234.27064145044,62850.57451463239,63623.27108095873
91,64169.92203419337,63178.17750114314,61432.03382613807,61192.21113685373,62493.08612458208
101,63076.14939147747,61461.978836755734,58690.29779888333,59251.463341288596,60619.97234210128
111,61494.92833809538,60606.36721732588,58363.912047638216,58761.54378893178,59806.68784799782
121,59650.63937391632,59626.163977977776,55819.13716357291,57309.56217545485,58101.37567273046
131,58034.31271301285,58026.52336987054,55720.834288041115,55806.071065698365,56896.935359155716
141,58034.31271301285,55522.65455091204,55550.238916103604,54033.01971908101,55785.056474777375
151,56486.41515504199,54482.52392449874,53598.10260770907,53513.454818416954,54520.12412641669
161,56473.106831990044,54074.80140370899,53399.37298563148,53213.84766105772,54290.28222059706
171,55678.83903020975,52509.01359086796,53213.60698093964,51227.076737093645,53157.134084777754
181,54619.84016384558,52417.281383698384,52259.84963125364,50928.27765427481,52556.3122082681
191,54282.007307990825,51811.69814840312,51319.00534982026,49887.56444355341,51825.0688124419
201,53389.43715501079,51510.380825361724,50364.80978062794,49758.77062074698,51255.84959543686
211,53197.716367400346,50610.907300192004,49753.34594546362,48325.19575518853,50471.79134206113
221,51310.11212015354,49906.47844576914,49440.92215920541,48325.19575518853,49745.677120079155
231,50681.467829833135,49119.85557888778,48737.53670756459,47374.37573954498,48978.30896395762
241,49715.381478705014,47915.61535860264,48243.75729071564,47374.37573954498,48312.282466892066
251,48520.08523289075,47915.61535860264,47779.76280482531,46738.3678575183,47738.45781345926
261,48263.124750471936,46077.320891058356,45682.07804208641,46552.11515059843,46643.65970855379
271,46620.5826079288,46077.320891058356,45555.124931981125,46063.803640651684,46079.208017904995
281,46132.22259415801,45210.021025637885,44630.45362360383,46063.803640651684,45509.12522101285
291,45808.11096282389,45054.038619765764,44184.65458225314,46029.83196043587,45269.159031319665
301,43843.89942780484,44481.24245062811,43638.53353873862,45247.624589490704,44302.825001665566
311,43843.89942780484,43223.25117783314,43373.51416716472,45108.618700830135,43887.320868408206
321,43769.1718047784,42901.2929365396,43373.51416716472,45108.618700830135,43788.149402328214
331,42860.16356566186,42479.62029598461,42993.49222908421,44484.525955527766,43204.45051156461
341,42846.80357041448,41818.8968396947,42636.37599741684,44484.525955527766,42946.65059076345
351,41702.93023293176,41818.8968396947,42636.37599741684,44484.525955527766,42660.68225639276
361,41702.93023293176,41188.1980149688,42391.06705080756,43809.93199703754,42273.03182393641
371,41702.93023293176,41187.86404773497,42189.989428601984,43696.41473956185,42194.299612207644
381,41030.146196252485,40953.95003585755,41688.681205480025,43696.41473956185,41842.29804428798
391,40872.44935627868,40953.95003585755,41091.612245318305,43320.45866120366,41559.617574664546
401,40719.43353545999,40536.50475672202,40945.82976079836,43320.45866120366,41380.556678546
411,39685.976515619295,40487.96421431192,40941.45151357133,42386.8212942076,40875.553384427534
421,39488.541886718165,39637.379865780116,40407.91242611686,42386.8212942076,40480.16386820569
431,39146.47935344938,39611.458687274986,40278.51522235392,42300.480651964324,40334.23347876065
441,38730.242346532934,39382.375400424935,39984.16373622744,42114.743175269425,40052.88116461368
451,38481.20190866354,39150.120471280155,39165.23136927065,41498.3499526678,39573.725925470535
461,38263.628917446345,38604.794431476206,39165.23136927065,41227.86695954858,39315.380419435445
471,38239.81031931144,38186.32389097116,39165.23136927065,41227.86695954858,39204.808134775456
481,37862.98370318155,38186.32389097116,39165.23136927065,40903.4390395889,39029.49450075306
491,37776.72361122514,37544.95176135243,38413.92705918157,40903.4390395889,38659.76036783701
501,37552.980091929174,37544.95176135243,38413.92705918157,40502.415101238366,38503.568503425384
511,37552.980091929174,37544.95176135243,38390.29944422892,40369.09929009605,38464.33264690164
521,37461.24744593371,37135.727858444734,38390.29944422892,39751.207854137356,38184.62065068618
531,37121.306350263294,37135.727858444734,38390.29944422892,38419.76139713744,37766.7737625186
541,36794.40231474391,37135.727858444734,38390.29944422892,38419.76139713744,37685.04775363875
551,36768.598060689685,36904.15574052438,38026.17971676993,38280.66346803426,37494.89924650457
561,36327.669506860744,36432.50488114585,37622.899217363374,38280.66346803426,37165.934268351055
571,36255.67217875882,36416.28531202263,37501.53907924179,38121.311238950104,37073.70195224333
581,36175.45565053277,36183.33385309569,37501.53907924179,38121.311238950104,36995.40995545509
591,36175.45565053277,36097.393257074946,37283.05895154381,38121.311238950104,36919.304774525415
601,35564.69758027952,36090.81889075952,37283.05895154381,38121.311238950104,36764.971665383244
611,35317.9351493715,36050.40460320137,37238.55706479601,37671.31994210359,36569.55418986812
621,35317.9351493715,36024.81084746676,37238.55706479601,37629.50969308709,36552.703188680345
631,34790.541639577685,36024.81084746676,37238.55706479601,37612.246584855784,36416.53903417406
641,34790.541639577685,35980.56347121716,37238.55706479601,37612.246584855784,36405.47719011166
651,34790.541639577685,35873.93387991966,37238.55706479601,37612.246584855784,36378.819792287286
661,34790.541639577685,35482.28241202476,37238.55706479601,37519.378508647016,36257.68990626137
671,34584.43984318584,35392.12288427266,37238.55706479601,37280.2236183337,36123.835852647055
681,34150.00304605062,35392.12288427266,37121.96018707074,37267.36720063586,35982.86332950747
691,33998.0236184604,35082.01533065266,37121.96018707074,37267.36720063586,35867.341584204914
