,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,84311.45027949958,86699.17980871763,85397.89595039628,87900.75630587462,86077.32058612202
11,79912.97836894101,83051.61729735669,82652.16917754732,83699.97399290242,82329.18470918687
21,76140.56214211104,79888.72083167653,76222.83802413968,77053.45868887244,77326.39492169993
31,72711.03800268994,76869.65842620662,73648.86422878412,73097.30937354105,74081.71750780543
41,66779.65625303092,71645.07771068554,71744.99411817189,70041.53114018335,70052.81480551792
51,66385.21233396862,70569.00859969911,69597.82712712979,68411.9452449632,68740.99832644017
61,64710.98543967551,68134.21810923758,67259.85604199169,67045.24842459334,66787.57700387454
71,63471.586415213875,64768.81389474369,64250.44309050927,64194.45899416198,64171.325598657204
81,61708.030394663576,62396.308900224256,64058.2743552013,61898.730463581785,62515.33602841773
91,59698.30892510381,60603.01653365656,63033.98494539504,60614.22873876015,60987.384785728886
101,58034.4360535128,59141.34527574298,61432.96146317066,60012.52629834765,59655.31727269352
111,57111.242170467056,58450.520125222785,60575.45934754979,57782.692824201564,58479.9786168603
121,56213.26966965438,55990.68563888658,58919.38975791067,56948.76731009944,57018.02809413777
131,54753.372348464385,55990.68563888658,57220.20075482756,55545.74015370856,55877.49972397177
141,51829.25864960404,54029.389246394334,57183.536549567325,54545.78478004174,54396.992306401866
151,51444.709107503004,53167.632522501364,55095.0450081561,52581.559953731216,53072.236647972924
161,49545.25480209473,52087.20176848054,53064.41760752893,52396.09231330362,51773.24162285196
171,49116.5818958677,51307.110231845974,52725.78480918659,51420.329670519786,51142.45165185501
181,48003.43607955376,50725.88434728359,51112.17156142228,50769.15511299039,50152.661775312496
191,46470.47138455349,49969.890983937,51112.17156142228,50109.97410207016,49415.62700799573
201,45728.919156876334,49655.153484537186,50382.348066801766,49964.53671567575,48932.73935597276
211,44199.63675695035,48446.82191429714,48925.050745015746,49185.03039223241,47689.13495212392
221,44175.257448229335,47532.55907679996,47798.152647240284,48709.65585492351,47053.90625679827
231,43260.83684581564,46849.67698137506,47393.15372524031,48289.053836158404,46448.180347147354
241,42950.25144590704,46423.13994263676,45593.09650902802,48272.26296112258,45809.6877146736
251,42827.322090431946,46191.28363529283,45375.51503556972,47232.195489830585,45406.57906278127
261,42073.69902618566,45601.04765317405,44976.940935576866,46744.78880410265,44849.11910475981
271,41640.59284511311,44382.26612723901,44332.4204402944,46744.78880410265,44275.017054187294
