,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,85895.10429284627,81436.41616300393,85133.9390856649,84627.7914631113,84273.3127511566
11,78836.44335705262,78814.59050556894,79211.07534031462,79359.14100914382,79055.31255301999
21,73667.20751426384,75480.90760564074,76080.21717724833,75131.2208425543,75089.8882849268
31,71109.40073963246,73172.84822874235,70038.36000723387,71317.43862449165,71409.51190002507
41,68312.78295499935,70681.89394200305,68680.0533542448,68811.97668664162,69121.6767344722
51,65407.56737132147,68506.03662401046,64716.81621083657,66317.85181730927,66237.06800586946
61,62497.47657209175,64840.93412372376,62598.65154234977,62357.67670542445,63073.684735897434
71,61059.894527590775,62147.67678341684,60473.3877872465,59073.25768399445,60688.554195562145
81,60205.16001389596,60743.56029858754,59069.05423025762,58194.64553638983,59553.10501978274
91,59522.567848229475,59048.327230302646,56650.86918311274,56531.99362820135,57938.439472461556
101,58589.33089116128,58359.00916117034,54996.77898381066,54165.48296792174,56527.650501016
111,57461.02769655171,56257.685232355485,54790.81525102086,52988.79336245653,55374.58038559614
121,55915.877246395445,55127.07409202191,53946.9369555182,51883.653785204406,54218.38551978499
131,55076.613296163196,53012.59820587275,52026.11033888947,51786.891945192634,52975.55344652952
141,53109.32741075501,50620.550659956214,50336.973290027025,50812.69519754425,51219.88663957063
151,51300.89061790004,50145.24377547332,50336.973290027025,49401.64036490856,50296.18701207724
161,50951.45698532751,49306.13086648995,50129.88291546456,48130.59263527118,49629.5158506383
171,49707.81210426125,48347.22981405871,48878.03754807335,48130.59263527118,48765.91802541612
181,48389.1643075799,47253.577472622615,48206.96982934187,47229.29716104421,47769.752192647145
191,47471.96305380391,46115.78929876729,47984.480118819316,47123.835047099325,47174.01687962246
201,47292.69196466419,44491.32714339888,46725.249342739735,46182.21824436521,46172.871673792004
211,47292.69196466419,44478.00185520617,45992.33199293587,45714.56963969195,45869.398863124545
221,46844.77563097945,43821.82393677697,45559.21726015576,44963.810485304406,45297.40682830414
231,45741.520887965715,43326.53458053335,45188.148288725555,44533.79284878634,44697.499151502736
241,45224.8266149705,42596.59094446552,43918.80385878735,44013.95103463895,43938.54311321558
251,45178.857829626824,42284.172641526,43918.80385878735,42930.20981624496,43578.01103654628
261,44359.944190430724,41724.61542358068,43918.80385878735,42693.149884383405,43174.12833929554
271,43984.8322468277,40643.59107000719,43853.216248465986,42081.15345261695,42640.69825447945
281,43300.57228264291,40031.63450180374,43323.53251341708,41684.46844482186,42085.0519356714
291,43012.13860110915,39862.59775874275,43164.545290037706,41107.5295619356,41786.7028029563
301,41774.09926134588,39595.74950307623,42331.71565020908,41001.91573094162,41175.8700363932
311,41750.16549553086,39327.34154561395,42166.07991903768,40532.718272513026,40944.076308173884
321,40790.12141207021,37903.541621456825,41892.66110536671,40532.718272513026,40279.76060285169
331,40183.58081395174,37681.14780930471,41143.34117196197,40532.718272513026,39885.197016932856
341,39851.52309592338,37681.14780930471,40617.05995467315,39466.77125413203,39404.12552850832
351,39495.678677313685,37276.91109987207,40617.05995467315,39008.62765545875,39099.56934682941
361,39264.1528210402,37276.91109987207,40152.29454389955,38777.73998470282,38867.774612378664
371,39003.01733094963,35851.533205365005,39656.92156888415,38777.73998470282,38322.303022475404
381,38740.69402816351,35427.17025159971,39417.90500336334,38530.39852962583,38029.0419531881
391,38353.37518799036,35359.24780166718,38777.80872887741,38157.643900487936,37662.01890475572
401,38130.63931418645,35275.77296917754,38753.58329670871,38157.643900487936,37579.40987014015
411,37885.07461475521,34881.25153411613,38531.97878604687,37804.72022234485,37275.75628931577
421,37040.57903622924,34134.94543334547,37665.91752277931,37604.50642379603,36611.487104037515
431,36538.3594484051,34134.94543334547,37632.02004344571,37187.80164359698,36373.281642198315
441,36538.3594484051,34134.94543334547,37555.92040434373,36676.213996156366,36226.35982056266
451,36538.3594484051,33789.883362077475,37439.79043834663,36356.05868659624,36031.022983856354
461,36448.04852423817,33789.883362077475,37439.79043834663,36288.47072448785,35991.54826228753
471,36148.587527500575,33789.883362077475,36927.59626925964,36050.7861441813,35729.21332575475
481,35974.403213487385,33681.567482667684,36807.91262873866,35606.23203832113,35517.528840803716
491,35843.00598877621,33681.567482667684,36353.32258615949,35606.23203832113,35371.032023981126
501,35374.55620842636,33587.22941141029,36353.32258615949,35164.006279282716,35119.77862131971
511,35374.55620842636,33257.56022078102,36176.81983799238,34826.840601193944,34908.944217098426
521,35067.10058799827,33102.02847128852,36176.81983799238,34252.86716588667,34649.70401579146
531,34835.48890622798,33102.02847128852,36127.971175995044,33837.71723615906,34475.80144741765
541,34580.45205531989,32945.40725757743,35938.3190497392,33247.11578019988,34177.823535709096
551,34580.45205531989,32612.640427641174,35794.815176995085,33205.50392436057,34048.352896079174
561,34367.10363052747,32612.640427641174,35425.31984891328,33106.922189009085,33877.99652402275
571,34067.631649962175,32175.478852398304,35250.68986246259,32710.011233614947,33550.9528996095
581,33908.60388806825,32175.478852398304,35250.68986246259,32570.882730418798,33476.413833336985
591,33385.427157018064,32073.2361889722,35250.68986246259,31538.762776353495,33062.02899620159
601,33385.427157018064,31976.10773985343,35044.47712511491,31538.762776353495,32986.193699584976
