,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1,86036.20176051001,84681.3134245405,81976.54565554466,85378.90822935736,84518.24226748812
11,72602.5825182752,72418.47354836196,69695.14008556021,73836.05300412832,72138.06228908143
21,64986.659181814575,63102.55994237027,61685.19508520209,67348.22998035315,64280.661047435024
31,59676.91438431534,58951.9467744905,56863.88959050748,60646.66336859308,59034.853529476604
41,57277.540790771236,56545.37248096953,53606.44614086262,58168.876420934546,56399.55895838448
51,53249.67253948006,54118.913516947796,53048.10013561755,54488.342304273465,53726.25712407971
61,52502.21075227221,51900.48348890217,51776.51481043826,51303.51219815294,51870.6803124414
71,50193.26982158709,49794.96185764628,50789.66651002711,49063.12731579129,49960.25637626294
81,48197.11749773887,47357.46097791339,49722.069364065894,47875.91963940133,48288.141869779865
91,46793.772954372354,45872.84023754758,46948.774622094956,46724.800224079605,46585.04700952362
101,46296.96737188908,45385.742795364764,45372.57762656524,45731.301147903636,45696.64723543068
111,45731.81853585012,44176.99635357278,43990.23214914866,44970.13174773319,44717.29469657619
121,44924.84264407403,42757.84760348636,43270.17422423895,44657.10320140496,43902.49191830108
131,44292.777101535576,42572.97950840222,42748.31079270344,44437.9005456947,43512.99198708398
141,43302.48117040834,42566.24290473394,41294.515714484594,44341.98318152541,42876.30574278807
151,42513.90116325945,41859.57603727212,40736.96593376878,44085.15095126109,42298.89852139036
161,41930.95005319393,40217.06286698873,40268.871474701315,43530.65112111403,41486.883878999506
171,41610.08807664738,39160.03713801843,40097.301205680174,42294.6971719043,40790.53089806257
181,41500.62193730401,38802.521549733996,39840.91200227997,42110.800382115376,40563.71396785834
191,41248.67485618532,38125.77886898013,39814.54880658518,42110.800382115376,40324.9507284665
201,41026.3943632495,38125.77886898013,39812.7936698603,41913.86145463349,40219.707089180854
211,40234.58633760268,37806.77367303046,39785.29706533664,41800.363050754,39906.75503168095
221,39846.39103265704,37806.77367303046,39077.136850541756,41628.57372861039,39589.718821209906
231,38915.68852809324,37638.233571442644,38986.544716045304,41558.577492679695,39274.76107706522
241,37604.29630218638,37535.68764533511,38885.487241670875,40767.97634189206,38698.3618827711
251,36868.3169371176,36657.95367179641,38867.442205218154,39730.941966855935,38031.16369524702
261,35221.011564084365,36425.939665326776,38740.72532916287,39391.24439973407,37444.730239577024
271,34387.0384857849,36385.07968463441,38540.9823961496,39122.68578509303,37108.94658791548
281,34291.44684524146,35835.707606729855,38480.81267292381,39029.76444012625,36909.43289125535
291,33322.77234591859,35803.3948914375,38138.88731821536,38988.92951217588,36563.49601693683
301,33279.11033143121,35340.75402289793,37829.107057526235,38988.92951217588,36359.47523100781
311,32248.824679384994,34730.85815740145,37740.421202041725,38895.88477699812,35903.99720395658
321,31934.318208951932,33561.68200600835,37364.324203959666,37765.68587046899,35156.502572347235
331,31852.026978799444,33492.96072157746,37364.324203959666,37048.319657279186,34939.40789040394
341,31626.67659391461,33436.07638708455,36606.19340226643,36470.12654616633,34534.76823235798
351,31519.00293501975,33386.5295987498,36391.83815353803,35961.98178624629,34314.83811838847
361,31450.459170936767,33386.5295987498,35433.07426722807,34954.230788944195,33806.07345646471
371,31379.30409069581,33386.5295987498,34423.34468834,34681.16641819728,33467.58619899573
381,30859.99232620195,33241.714602142965,33664.665554473046,34565.34153900555,33082.92850545588
391,30859.99232620195,33088.50275763756,33465.00139833988,33936.60265657904,32837.52478468961
401,30846.968989502624,33011.89799942564,32844.49964813376,33784.73735014465,32622.02599680167
411,30823.225592636587,32473.42600304975,32151.972357905626,33062.93917830675,32127.890782974675
421,30728.132442868253,32350.922554966986,31931.79569051741,32754.506780299198,31941.33936716296
431,30398.801230880697,32108.375084692394,31407.676826618153,32261.539030851443,31544.098043260674
441,30380.02837466788,32108.375084692394,30943.271212980606,31875.69852904263,31326.843300345878
451,30380.02837466788,32091.079535581597,30355.228690370917,31214.339695472805,31010.1690740233
461,30372.743891072038,32091.079535581597,29977.010719472844,30844.728257992836,30821.39060102983
471,30068.862493846427,32069.723554139342,29779.589019468254,30744.655389277854,30665.707614182968
481,29996.471040241257,32013.111930191,29779.589019468254,29903.972105231514,30423.286023783006
491,29548.498340755254,31986.511775706687,29489.045180995065,29770.536880994892,30198.64804461297
501,29374.342913816497,31986.511775706687,29350.942724536326,29710.73072008089,30105.6320335351
511,29311.147353852488,31956.000898196886,29039.411250778903,28927.02752965959,29808.39675812197
521,29240.479731496907,31770.455097525562,28874.781322290226,28678.696347409244,29641.103124680485
531,29200.286531571557,31770.455097525562,28763.195327811783,28450.679850767407,29546.15420191908
541,29185.26582052769,31752.060356246533,28401.342880796674,28320.054180064537,29414.680809408856
551,29172.953527336074,31752.060356246533,27524.97564047335,27440.81351359921,28972.70075941379
561,29172.953527336074,31614.866281934497,27257.913807082612,27351.52199649783,28849.313903212755
571,29163.524930786138,31539.839126299255,27243.82218270557,27213.693192246224,28790.219858009295
